Object ID,File Name,Title,Format,Brand/Maker,Puzzle Number,Piece Count,Puzzle Dimensions,Puzzle Diagram Included?,Materials,Age Suggestion,Created,Notes
puzzle001,max_ernst_001.jpg,"Max Ernst, Attirement of the Bride 1940",image/pdf,Peggy Guggenheim Collection,N/A,99,10cv x 14cm,Yes,Cardboard,4+,Made in Venice,Mini puzzle from a museum in Venice
puzzle002,tikki_evening_002.jpg,Tiki Eveningn Delight,image/pdf,Buffalo Games & Puzzles,91520,"1,000",26.75in x 19.75in       68cm x 50cm,Yes,100% recycled paperboard,14+,Made in USA with US and imported material,
puzzle003,blooming_books_003.jpg,Blooming Books,image/pdf,Galison,,750,28.3inc x 21in,Yes,Recycled paper,8+,Made in China,Actual piece count is 771
puzzle004,bryce_canyon_004.jpg,"Bryce Canyon National Park, Utah",image/pdf,Cra-Z-Art,5520,500,18.25in x 11in     46cm x 28cm,No,Cardboard,Any (over 3),Made in China,
puzzle005,fantasy_panorama_005.jpg,Fantasy Panorama,image/pdf,Hasbro,6054004,750,34in x 11in          86cm x 27cm,No,Cardboard,12+,Made in China,
puzzle006,fairytale_chaumont_006.jpg,"Fariytale Chaumont-sur-Loire Castle, France",image/pdf,Cra-Z-Art,5520,500,18.25in x 11in     46cm x 28cm,No,Cardboard,Any (over 3),Made in China,
puzzle007,from_sea_007.jpg,From Sea to Shining Sea,image/pdf,Ravensburger,164530,"1,000",27in x 20in          70cm x 50cm,No,Cardboard,Adult,Made in Germany,Actual piece count is 1008
puzzle008,gradient_puzzle_008.jpg,Gradient Puzzle: Blue/Green,image/pdf,Areaware,00390,500,18in x 24in,No,Cardboard,9+,Made in China,
puzzle009,gradient_puzzle2_009.jpg,Gradient Puzzle: Red/Orange/Gold,image/pdf,Areaware,00273,"1,000",20in x 28in,No,Cardboard,12+,Made in China,Difficult under yellow light
puzzle010,gradient_puzzle3_010.jpg,Gradient Puzzle: Red/Yellow,image/pdf,Areaware,00350,500,18in x 24in,No,Cardboard,9+,Made in China,Difficult under yellow light
puzzle011,fall_birds_011.jpg,Fall Birds,image/pdf,Buffalo Games & Puzzles,91130,"1,000",26.75in x 19.75in       68cm x 50cm,Yes,100% recycled paperboard,14+,Made in USA with US and imported material,
puzzle012,huaxia_creatures_012.jpg,Huaxia Creature,image/pdf,Panley Paper Company,N/A,"1,000",675mm x 675mm,No,Paper,12+,Made in China,Round puzzle
puzzle013,jane_austen_013.jpg,Jane Austen's Book Club,image/pdf,Eeboo,N/A,"1,000",23in x 23in         58.4cm x 58.4cm,Yes,Recycled materials & vegetable based ink,14+,Made in China,Birthday present that I framed once completed
puzzle014,simple_succulents_014.jpg,Simple Succulents,image/pdf,Buffalo Games & Puzzles,11970,"1,000",26.75in x 19.75in      68cm x 50cm,Yes,100% recycled paperboard,14+,Made in USA with US and imported material,1 duplicate piece and 2 missing pieces. Known issue with Manufacturer
puzzle015,retro_lace_015.jpg,Retro Lace Mandela,image/pdf,Bgraameins,,"1,000",24in x 24in,Yes,Recycled paper,12+,,
puzzle016,fright_night_016.jpg,Fright Night,Image,Motiloo,A20206,500,14in x 20in,Yes,Paper,12+,Made in China,"Poor quality; some pieces were bent/broke, or coming apart upon unboxing"
puzzle017,the_bizzare_017.jpg,The Bizarre Bookshop No. 2,Image,Ravensburger,193141,"1,000",27in x 20in          70cm x 50cm,Yes,Cardboard,Adult,Made in Germany,
puzzle018,peggys_garden_018.jpg,Peggy's Garden,Image,Ceaco,4336.,"1,000",26.6in x 19in          68cm x 48cm,Yes,Cardboard,8+,Made in USA,Irregular shaped pieces
puzzle019,wizarding_world_019.jpg,Wizarding World: Harry Potter,Image,aladone,24606,"1,000",30in x 24in          76cm x 61cm,No,Recycled paper,8+,Made in China,Puzzle is zoomed in from picture on box
puzzle020,wonder_bloom_020.jpg,Wonder & Bloom,Image,Galison,N/A,500,20in x 20 in,No,Recycled paper,8+,Made in China,
puzzle021,safe_passage_021.jpg,Safe Passage,Image.jpeg,Buffalo Games & Puzzles,11970,"1,000",26.75in x 19.75in      68cm x 50cm,Yes,100% recycled paperboard,14+,Made in China,
puzzle022,guiding_light_022.jpg,Guiding Light,Image.jpeg,Cra-Z-Art,6400,"1,000",27inX20in            69cmX51cm,No,Cardboard,Any (over 3),Made in China,